"decade","player_count","avg_height_cm","avg_weight_kg","avg_height_ft","avg_weight_lbs"
"1990s","1757","200.9","100.5","6.6","0.2"
"2000s","4469","201.0","101.4","6.6","0.2"
"2010s","4934","200.6","100.0","6.6","0.2"
"2020s","1684","198.8","97.8","6.5","0.2"
