"decade","player_count","avg_ppg","avg_apg","avg_rpg","avg_ts","avg_up"
"1990s","1756","7.8","1.8","3.5","0.5","0.2"
"2000s","4469","8.1","1.8","3.6","0.5","0.2"
"2010s","4933","8.3","1.8","3.6","0.5","0.2"
"2020s","1684","8.7","2.0","3.5","0.5","0.2"
