"estimated_position","player_name","position_score"
"PG","Russell Westbrook","20.13"
"SG","Stephen Curry","18.37"
"SF","LeBron James","20.39"
"PF","Giannis Antetokounmpo","22.36"
"C","Shaquille O'Neal","20.57"
"Other","Stephen Curry","21.36"
