"team_abbreviation","top_5_appearances","avg_ppg","avg_net_rating"
"LAL","29","25.6","5.2"
"PHX","23","17.1","6.5"
"MIN","22","18.5","2.7"
"PHI","18","25.4","3.8"
"UTA","18","17.9","8.3"
"LAC","16","16.1","5.4"
"HOU","16","22.7","5.5"
"OKC","16","26.8","5.6"
"WAS","15","21.7","0.5"
"DET","15","14.1","2.7"
