"experience_lvl","player_seasons","avg_ppg","avg_apg","avg_rpg","avg_ts_pct","avg_net_rating","avg_usage_pct"
"Rookie","2552","5.3","1.2","2.5","0.480","-3.8","0.2"
"Veteran","10292","8.9","2.0","3.8","0.520","-1.2","0.2"
